LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE CARBONEX,500830,COLGATE PALM, 0.50 ,FMCG
BSE CARBONEX,532868,DLF LIMITED, 0.25 ,Housing Related
BSE CARBONEX,511218,SHRIRAM TRAN, 0.55 ,Finance
BSE CARBONEX,500228,JSW SL, 0.50 ,"Metal,Metal Products & Mining"
BSE CARBONEX,532822,IDEA CELL, 0.25 ,Telecom
BSE CARBONEX,532955,RECLTD, 0.35 ,Finance
BSE CARBONEX,500253,LIC H. FINAN, 0.60 ,Finance
BSE CARBONEX,500469,FEDERAL BANK, 1.00 ,Finance
BSE CARBONEX,532424,GODREJ CONS, 0.35 ,FMCG
BSE CARBONEX,500359,RANBAXY LABO, 0.40 ,Healthcare
BSE CARBONEX,500376,SATYAM COMP, 0.60 ,Information Technology
BSE CARBONEX,532810,POWER FINAN, 0.30 ,Finance
BSE CARBONEX,500390,REL INFRA, 0.55 ,Power
BSE CARBONEX,532483,CANARA BANK, 0.35 ,Finance
BSE CARBONEX,500096,DABUR INDIA, 0.35 ,FMCG
BSE CARBONEX,500295,SESA GOA LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE CARBONEX,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE CARBONEX,532149,BANK OF INDI, 0.35 ,Finance
BSE CARBONEX,500480,CUMMINS INDI, 0.50 ,Transport Equipments
BSE CARBONEX,512599,ADANI ENTER, 0.25 ,Diversified
BSE CARBONEX,532488,Divi's Lab, 0.50 ,Healthcare
BSE CARBONEX,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE CARBONEX,530965,INDIAN OIL C, 0.10 ,Oil & Gas
BSE CARBONEX,500086,EXIDE INDUS, 0.55 ,Transport Equipments
BSE CARBONEX,532921,ADANI PORTS, 0.25 ,Transport Services
BSE CARBONEX,500770,TATA CHEMICA, 0.70 ,Chemical & Petrochemical
BSE CARBONEX,500800,TATAGLOBAL, 0.65 ,FMCG
BSE CARBONEX,532477,UNION BANK, 0.45 ,Finance
BSE CARBONEX,500111,RELIANCE CAP, 0.50 ,Finance
BSE CARBONEX,500113,STEEL AUTHOR, 0.15 ,"Metal,Metal Products & Mining"
BSE CARBONEX,500188,HIND.ZINC, 0.10 ,"Metal,Metal Products & Mining"
BSE CARBONEX,532712,REL COM LTD, 0.35 ,Telecom
BSE CARBONEX,500104,HINDUSTAN PE, 0.50 ,Oil & Gas
BSE CARBONEX,507878,UNITECH LTD, 0.55 ,Housing Related
BSE CARBONEX,532544,INDIABULLS, 0.55 ,Finance
BSE CARBONEX,532939,RPOWER, 0.20 ,Power
BSE CARBONEX,533098,NHPC, 0.15 ,Power
BSE CARBONEX,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE CARBONEX,512070,UNITED PHOSP, 0.75 ,Agriculture
BSE CARBONEX,533096,ADANI POWER, 0.30 ,Power
BSE CARBONEX,500116,IDBI BANK L, 0.30 ,Finance
BSE CARBONEX,500002,ABB LTD, 0.25 ,Capital Goods
BSE CARBONEX,500477,ASHOK LEYLND, 0.50 ,Transport Equipments
BSE CARBONEX,500493,BHARAT FORGE, 0.60 ,Transport Equipments
BSE CARBONEX,532873,HOUSING DEV, 0.65 ,Housing Related
BSE CARBONEX,532754,GMR INFRASTR, 0.30 ,Power
BSE CARBONEX,532667,SUZLONENERGY, 0.50 ,Capital Goods
