LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE-500,534091,MCX LTD, 0.20 ,Finance
BSE-500,500020,BOMBAY DYEI, 0.50 ,Textile
BSE-500,500085,CHAMBAL FERT, 0.45 ,Agriculture
BSE-500,500163,GODFREY PHIP, 0.30 ,FMCG
BSE-500,500173,GUJARAT FLUO, 0.30 ,Oil & Gas
BSE-500,500285,SPICEJET LTD, 0.55 ,Transport Services
BSE-500,500294,NCC, 0.80 ,Housing Related
BSE-500,500368,RUCHI SOYA., 0.45 ,FMCG
BSE-500,500680,PFIZER LTD., 0.30 ,Healthcare
BSE-500,500710,AKZOINDIA, 0.25 ,Chemical & Petrochemical
BSE-500,503100,PHOENIX MILL, 0.35 ,Housing Related
BSE-500,507815,GILLETTE IND, 0.15 ,FMCG
BSE-500,509051,IND INFO&SOF, 0.60 ,Information Technology
BSE-500,509480,BERGE PAINT*, 0.25 ,Chemical & Petrochemical
BSE-500,509966,VST INDUSTRI, 0.40 ,FMCG
BSE-500,511072,DEWAN HOU FI, 0.50 ,Finance
BSE-500,511243,CHOLAFIN, 0.30 ,Finance
BSE-500,513599,HIND.COPPER, 0.10 ,"Metal,Metal Products & Mining"
BSE-500,515055,ANANTRAJ, 0.40 ,Housing Related
BSE-500,517506,TTK PRESTIG, 0.30 ,Consumer Durables
BSE-500,520077,AMTEK AUTO L, 0.65 ,Transport Equipments
BSE-500,522074,ELGI EQUIP, 0.70 ,Capital Goods
BSE-500,523395,3M INDIA LTD, 0.25 ,Diversified
BSE-500,523598,SHIPPING COR, 0.40 ,Transport Services
BSE-500,530773,IVRCL LTD, 0.90 ,Housing Related
BSE-500,532175,INFOTECH ENR, 0.55 ,Information Technology
BSE-500,532282,AMTEK INDI L, 0.40 ,Transport Equipments
BSE-500,532301,TATA COFFEE, 0.40 ,FMCG
BSE-500,532368,YBRANTDIGI, 0.40 ,Information Technology
BSE-500,532497,RADICO KHAIT, 0.60 ,FMCG
BSE-500,532541,NIIT TECHNO, 0.70 ,Information Technology
BSE-500,532638,SHOPPER STOP, 0.35 ,Miscellaneous
BSE-500,532670,RENUKA SUGAR, 0.60 ,Agriculture
BSE-500,532683,AIAENGINEER, 0.40 ,Capital Goods
BSE-500,532693,PUNJ LLOYD, 0.65 ,Capital Goods
BSE-500,532708,GVK POWERINF, 0.45 ,Power
BSE-500,532710,SADBHAV ENGG, 0.55 ,Capital Goods
BSE-500,532885,CENTRAL BK, 0.20 ,Finance
BSE-500,532900,SE INVESTM, 0.75 ,Finance
BSE-500,532915,RELIGARE ENT, 0.25 ,Finance
BSE-500,532927,ECLERX, 0.50 ,Information Technology
BSE-500,533137,DEN NETWORK, 0.45 ,Media & Publishing
BSE-500,533151,D B CORP, 0.25 ,Media & Publishing
BSE-500,533177,IL&FS TRANS, 0.30 ,Capital Goods
BSE-500,533179,PERSISTENT, 0.55 ,Information Technology
BSE-500,533206,SJVN, 0.15 ,Power
BSE-500,533269,VATECH WABA, 0.70 ,Capital Goods
BSE-500,533274,PRESTIGE, 0.20 ,Housing Related
BSE-500,533293,KIRLOIL ENG, 0.35 ,Transport Equipments
BSE-500,500032,BAJAJHINDLTD, 0.50 ,Agriculture
BSE-500,500042,BASF INDIA, 0.30 ,Chemical & Petrochemical
BSE-500,500067,BLUE STAR L, 0.60 ,Consumer Durables
BSE-500,500095,WYETH LTD, 0.45 ,Healthcare
BSE-500,500102,BALLARPUR IN, 0.55 ,Miscellaneous
BSE-500,500108,MAHANAG TELE, 0.45 ,Telecom
BSE-500,500110,CHENNAI PETR, 0.35 ,Oil & Gas
BSE-500,500186,HIND.OIL EXP, 0.55 ,Oil & Gas
BSE-500,500233,KAJARIA CERA, 0.50 ,Housing Related
BSE-500,500238,WHIRLPOOL IN, 0.25 ,Consumer Durables
BSE-500,500265,MAHARASH SEA, 0.45 ,"Metal,Metal Products & Mining"
BSE-500,500305,JSW ISPAT, 0.30 ,"Metal,Metal Products & Mining"
BSE-500,500335,BIRLA CORPOR, 0.40 ,Housing Related
BSE-500,500380,JK LAKSHMI, 0.55 ,Housing Related
BSE-500,500488,ABBOTT INDIA, 0.30 ,Healthcare
BSE-500,500630,ESSAR SHIP, 0.20 ,Transport Services
BSE-500,500670,GUJ NARMADA, 0.60 ,Agriculture
BSE-500,501061,S BK BIKANER, 0.25 ,Finance
BSE-500,501301,TATA INV COR, 0.30 ,Finance
BSE-500,501455,GREAVES COTT, 0.50 ,Capital Goods
BSE-500,502420,ORIENT PAP&I, 0.55 ,Housing Related
BSE-500,503031,PENLAND LTD, 0.45 ,Housing Related
BSE-500,506690,UNICHEM LAB, 0.55 ,Healthcare
BSE-500,508939,BLUE CIRCLE, 1.00 ,Finance
BSE-500,512179,SUNTECK REAL, 0.30 ,Housing Related
BSE-500,513023,NAV BHAR VEN, 0.60 ,Power
BSE-500,513446,MONNETISPA, 0.55 ,"Metal,Metal Products & Mining"
BSE-500,523204,ABAN OFFSHO, 0.50 ,Oil & Gas
BSE-500,523756,SREI INFRA, 0.45 ,Finance
BSE-500,524000,MAGMA FIN, 0.45 ,Finance
BSE-500,526612,BLUE DART EX, 0.20 ,Miscellaneous
BSE-500,530323,ERA INFRA, 0.40 ,Housing Related
BSE-500,531411,TUNI TEXTILE, 0.80 ,Textile
BSE-500,531900,CCL INTER, 0.75 ,Miscellaneous
BSE-500,532191,ST BK TRAVAN, 0.25 ,Finance
BSE-500,532309,AIL, 0.35 ,Capital Goods
BSE-500,532313,MAHINDRALIFE, 0.50 ,Housing Related
BSE-500,532343,TVS MOTOR L, 0.45 ,Transport Equipments
BSE-500,532617,JET AIRWAYS, 0.20 ,Transport Services
BSE-500,532622,GATEWAY DIST, 0.60 ,Transport Services
BSE-500,532644,JK CEMENT, 0.35 ,Housing Related
BSE-500,532662,HT MEDIA, 0.30 ,Media & Publishing
BSE-500,532682,ABG SHIPYARD, 0.40 ,Transport Services
BSE-500,532696,EDUCOMP SOLN, 0.45 ,Miscellaneous
BSE-500,532714,KEC INTERN, 0.60 ,Power
BSE-500,532747,KFA, 0.65 ,Transport Services
BSE-500,532772,DEV CRBANK, 0.75 ,Finance
BSE-500,532778,LANCO INFRA, 0.30 ,Power
BSE-500,532835,ICRA, 0.70 ,Finance
BSE-500,532843,FORTIS, 0.20 ,Healthcare
BSE-500,532848,DELTA CORP, 0.60 ,Miscellaneous
BSE-500,532872,SUNPHA ADV, 0.30 ,Healthcare
BSE-500,532926,JYOTHY LAB, 0.35 ,FMCG
BSE-500,532938,CAPF, 0.60 ,Finance
BSE-500,533023,WABCO, 0.25 ,Transport Equipments
BSE-500,533144,COX KINGS, 0.45 ,Tourism
BSE-500,533229,BAJAJ CORP, 0.20 ,FMCG
BSE-500,533264,ELECTROSTEEL, 0.65 ,"Metal,Metal Products & Mining"
BSE-500,533286,MOIL LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE-500,533400,FUTURE VENT, 0.65 ,Finance
BSE-500,500031,BAJAJ ELECT., 0.35 ,Consumer Durables
BSE-500,500038,BALRAMPUR C, 0.60 ,Agriculture
BSE-500,500048,BEML LTD, 0.50 ,Capital Goods
BSE-500,500183,HIM FUTR COM, 0.45 ,Telecom
BSE-500,500185,HINDUS CONST, 0.65 ,Housing Related
BSE-500,500210,INGERSOL RND, 0.30 ,Capital Goods
BSE-500,500215,AGRO TECH F, 0.45 ,FMCG
BSE-500,500338,PRISM CEMENT, 0.25 ,Housing Related
BSE-500,500339,RAIN COMMODI, 0.55 ,Housing Related
BSE-500,500366,ROLTA IND, 0.60 ,Information Technology
BSE-500,500403,SUNDRAM FAST, 0.55 ,Transport Equipments
BSE-500,500495,ESCORTS LTD., 0.60 ,Transport Equipments
BSE-500,500645,DEEPAK FERT, 0.60 ,Agriculture
BSE-500,500672,NOVARTIS IND, 0.25 ,Healthcare
BSE-500,502937,KESORAM IND, 0.75 ,Diversified
BSE-500,502986,VARDH TEXT, 0.40 ,Textile
BSE-500,503806,SRF LIMITED, 0.50 ,Textile
BSE-500,505355,NESCO LIMITD, 0.40 ,Capital Goods
BSE-500,506390,CLARI CHEM, 0.40 ,Chemical & Petrochemical
BSE-500,507880,VIP INDUSTRI, 0.50 ,Consumer Durables
BSE-500,508989,NAVNEET PUBL, 0.40 ,Media & Publishing
BSE-500,509488,GRAPHIT INDI, 0.40 ,Capital Goods
BSE-500,512579,GUJARA NRE C, 0.55 ,"Metal,Metal Products & Mining"
BSE-500,514034,JBF.IND.LTD, 0.55 ,Chemical & Petrochemical
BSE-500,517146,USHA MARTIN, 0.60 ,Capital Goods
BSE-500,517174,HONEYWEL AUT, 0.20 ,Capital Goods
BSE-500,519307,VIKAS WSP LT, 0.80 ,Agriculture
BSE-500,521070,ALOK INDUSTR, 0.65 ,Textile
BSE-500,522205,PRAJ INDUSTR, 0.60 ,Capital Goods
BSE-500,522287,KALPAT POW T, 0.45 ,Capital Goods
BSE-500,523405,JM FINANCIAL, 0.35 ,Finance
BSE-500,523457,BOC INDIA LT, 0.15 ,Oil & Gas
BSE-500,523642,PI INDUS.LTD, 0.40 ,Agriculture
BSE-500,523838,SIMPLX INFRA, 0.50 ,Housing Related
BSE-500,524816,NATCO PHARM, 0.45 ,Healthcare
BSE-500,530001,GUJ ALKALI, 0.60 ,Chemical & Petrochemical
BSE-500,531335,ZYDUS WELL, 0.30 ,FMCG
BSE-500,531426,TAMILNADU NE, 0.65 ,Miscellaneous
BSE-500,531599,FDC LIMITED, 0.35 ,Healthcare
BSE-500,532106,REI AGRO LIM, 0.50 ,FMCG
BSE-500,532180,DHANLAK BANK, 1.00 ,Finance
BSE-500,532254,POLARIS FIN, 0.50 ,Information Technology
